"year","lsl_max"
1931,1265.56210045662
1933,1370.06233161891
1934,1113.67904703726
1935,1051.84394977169
1936,1304.86316029144
1937,1216.30502283105
1939,1136.35766158315
1940,1222.31102003643
1941,1201.53203634669
1942,1379.36826484018
1944,1209.57900728597
1945,1143.63630136986
1947,1461.32286779743
1948,1143.43761384335
1949,1233.60559360731
1950,1256.49189497717
1951,1324.80821917808
1952,1082.44467213115
1953,1496.55593607306
1956,1132.39583333333
1957,1094.13093405943
1958,1313.48732876712
1959,1373.35627853881
1960,1504.65175318761
1961,1299.84897260274
1962,1429.19897260274
1963,1702.11221461187
1964,1289.14697176685
1965,1131.00621272366
1968,1327.09198542805
1969,1150.86883896012
1970,1249.14484315589
1972,1483.32268446776
1975,1096.32305936073
1976,1472.15687613843
1977,1294.00372136295
1978,1703.72640267975
1979,1344.20275910039
1980,1334.55919854281
1981,1161.71595781666
1982,1090.33926940639
1983,1234.70924657534
1984,1141.28904826958
1985,1218.55502283105
1986,1407.8446347032
1987,1474.34132420091
1988,1334.25261839709
1989,1130.76415525114
1990,1400.2899543379
1991,1787.25052337753
1992,1371.73246812386
1993,1216.75673823664
1994,1159.76586757991
1995,1242.75308219178
1996,1309.70514571949
1997,1536.5639726673
1998,1178.84554794521
1999,1149.11575342466
2000,1346.15220856102
2001,1235.46906392694
2002,1338.39121004566
2003,1191.45727241018
2004,1162.30066029144
2005,1086.28378995434
2006,1314.00890410959
2007,1485.71883561644
2008,1405.39875747814
2009,1315.53344748858
2010,1195.69166666667
2011,1338.8247716895
2012,1869.5070582878
2013,1230.84121004566
2014,1197.19474885845
2015,1256.91335616438
2016,1324.89150728597
2017,1185.88664383562
2018,1212.55079908676
