"year","counts","time_length","excesses","excesses"
1923,2,244,578.707995893692,1066.70799589369
1924,0,366,NA
1925,1,365,570.843732177484
1926,2,365,560.800958138474,2592.16835861754
1927,2,365,576.001026576936,577.153302155812
1928,1,366,524.790350176799
1929,3,365,530.409376069351,577.714041291206,559.295540093533
1930,2,365,554.923805178511,534.679137675374
1931,2,365,530.236568951751,617.15524124558
1932,6,366,682.150450553211,525.097638873046,566.697844188434,909.741758868484,570.018022128436,737.518649481008
1933,6,365,521.881601460021,521.818295882286,523.442454659519,527.949469601916,750.331470286301,596.902247062849
1934,2,365,728.97422151249,842.327021786244
1935,2,365,522.336146914566,548.153986540436
1936,1,366,536.363636363636
1937,1,325,603.544345132244
1938,0,338,NA
1939,3,365,522.275464811224,764.713813162998,603.861069921296
1940,3,366,553.135736283792,903.660773354625,623.637732405612
1941,3,365,573.189688604996,568.452606364777,557.699783278202
1942,0,365,NA
1943,2,365,559.207596669328,546.586859815216
1944,1,366,534.727044599065
1945,3,365,576.465495608532,535.644576251853,532.604197559028
1946,2,365,668.245922208281,538.990760807574
1947,3,365,581.825824113152,541.427398197787,1055.34333295312
1948,3,366,589.360784761036,616.91559256302,638.703433329531
1949,1,365,622.071632257328
1950,3,242,553.252766054522,548.751423895819,975.665466132036
1951,2,297,596.671472258158,565.608554758798
1952,1,366,668.072544770161
1953,3,365,598.782593817726,537.486711531881,657.204631002624
1954,1,365,548.918900422037
1955,3,365,593.131858104255,527.785331356222,675.787270445991
1956,2,366,864.371050530398,528.190487053724
1957,3,365,564.607733546253,540.571004904757,578.382685069009
1958,3,365,520.031481692711,552.573058058629,522.07904642409
1959,3,365,567.529029314475,528.263716208509,742.721455457967
1960,1,366,645.092391924261
1961,3,365,578.116117257899,524.887646857534,521.917987909205
1962,0,365,NA
1963,1,365,520.964411999544
1964,1,366,586.222995323372
1965,4,365,936.095585719174,537.30398083723,719.178168130489,594.911321750772
1966,0,288,NA
1967,1,345,558.018345061018
1968,0,366,NA
1969,3,353,578.886079406773,1096.99626533126,769.255647103819
1970,4,365,666.841108703091,623.770046766283,612.173263374016,658.811680164252
1971,2,365,552.597239648683,661.971255845785
1972,5,363,586.932702885284,534.162427990793,576.480096520507,583.324627146719,519.376184121738
1973,4,360,534.670166822659,730.514013064247,542.226001201579,539.957038044285
1974,3,355,577.431453240172,585.848243476285,773.000861247473
1975,1,365,531.279342990761
1976,1,325,522.639968569121
1977,3,336,537.820383787665,610.893920383256,521.955172807117
1978,0,365,NA
1979,3,362,613.815418736353,636.529574091663,927.248927668521
1980,1,358,552.465872134157
1981,2,365,547.444165621079,543.717349150223
1982,1,363,557.441971964941
1983,2,365,586.61956977491,596.082810539523
1984,2,366,531.157750655869,525.303524580815
1985,4,365,561.624615033649,843.000228128208,824.498688262804,560.169727386791
1986,2,365,632.028857646374,555.666247859674
1987,2,343,528.781338540637,571.721569522072
1988,2,366,555.47564731379,660.984259153644
1989,2,365,599.708566214212,525.33512033763
1990,3,365,600.708566214212,552.67252195734,542.834378920953
1991,2,365,525.241701836432,524.628493213186
1992,2,366,573.250028516026,682.109045283449
1993,0,179,NA
1994,2,364,561.802783164138,728.504961788525
1995,3,365,522.318039238587,641.934327592642,1617.37541348291
1996,2,364,570.155819510153,584.081905970745
1997,2,348,678.076887150167,522.991903447818
1998,4,351,657.715518179708,537.901784861584,666.063788055488,1302.525975805
1999,2,365,575.809969202692,577.873045417555
2000,3,364,522.655184213528,576.219915592563,602.389445138862
2001,4,353,559.150708969135,534.766769194982,631.289477033081,522.191399566556
2002,5,365,549.407094787271,728.042431846698,1115.01745180792,652.276035131744,519.975818409946
2003,4,365,547.878521729212,650.685411201095,584.586175430592,528.554313789318
2004,1,179,984.517802531322
2005,5,360,943.693443713363,527.156133690894,1356.70126611155,1722.59632713585,886.291661913996
2006,4,365,545.305349606479,600.615033648911,729.577734686894,655.200839267425
2007,2,355,529.752339210393,606.38734289908
2008,4,358,1017.28348929806,1087.46085897982,568.881755523679,534.293869131527
2009,9,365,652.401391582069,590.455572031482,592.690772213984,533.165963271359,546.407436979583,645.070947872704,929.585605110072,656.28242272157,615.001368769249
2010,0,365,NA
2011,2,365,766.019239257042,553.709100033396
2012,2,335,587.154241168654,907.185722861365
2013,0,314,NA
2014,4,365,627.794912740961,657.26713813163,563.48043800616,545.143036386449
2015,2,365,784.837458651763,591.856051100719
2016,0,366,NA
2017,3,365,644.176799361241,975.600091251283,525.741758868484
2018,4,365,719.56997832782,789.56997832782,573.56997832782,545.56997832782
