"","p.threshold","threshold","dt.decluster"
"FernandinaBeach",0.99,1502.89881893265,3
"KeyWestFL",0.99,535.708830842933,3
"PortlandME",0.99,2110.21192996464,3
"NewportRI",0.99,1109.35311477601,3
"DuckPierNC",0.99,1100.79377552184,3
"CharlestonSC",0.99,1326.09036806947,3
"AtlanticCityNJ",0.99,1263.37285462508,3
"MontaukNY",0.99,838.717891850762,3
"EastportME",0.99,3844.52433909615,3
"BostonMA",0.99,2167.67871805403,3
"WoodsHoleMA",0.99,792.339423976276,3
"NantucketMA",0.99,955.245420326223,3
"NewLondonCT",0.99,892.543790350177,3
"NewYorkNY",0.99,1292.18997715066,3
"CapeMayNJ",0.99,1363.39430849224,3
"LewesDE",0.99,1261.88844043219,3
"ChesapeakeBBT",0.99,981.610568039238,3
"WilmingtonNC",0.99,1009.6564423406,3
"FortPulaskiGA",0.99,1635.95032622334,3
"MayportFL",0.99,1153.39279114863,3
"VirginiaKeyFL",0.99,664.666318010722,3
"NaplesFL",0.99,678.317497087127,3
"StPetersburgFL",0.99,652.52321268721,3
"ApalachicolaFL",0.99,603.135280027375,3
"PanamaCityBeach",0.99,605.237013599785,3
"PensacolaFL",0.99,519.337363389109,3
"DauphinIslandAL",0.99,553.506352766451,3
"GrandIsleLA",0.99,501.804155161288,3
"SabinePassNTX",0.99,607.150139246199,3
"GalvestonPPier",0.99,757.351340664163,3
"RockportTX",0.99,405.220986851156,3
"CorpusCristiTX",0.99,636.662997604653,3
"PortIsabelTX",0.99,500.70001140641,3
"ClearwaterBchFL",0.99,741.349100043596,3
"PortCanaveralFL",0.99,1079.03431048249,3
"GalvestonPier21",0.99,593.249880232692,3
