"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1560.2248425677,4.24429672875516,0.328261245633376,0.210608819031083
"KeyWestFL",558.213158691013,3.81999050342258,-0.121303657607124,0.266478272702378
"PortlandME",2215.84032100769,4.81466107021652,-0.348472617603544,-0.0769424949705254
"NewportRI",1217.71636160445,4.98938477684322,-0.394791565900335,0.120029155040196
"DuckPierNC",1217.96218790545,6.10829629518318,-1.71029889610793,0.108648394622033
"CharlestonSC",1394.34108807673,4.5389399098466,0.0185311768021269,0.217336974040662
"AtlanticCityNJ",1389.43403237149,4.67577046934434,0.133928492338063,-0.00389440984596608
"MontaukNY",992.309418807526,5.55162387793843,-0.818906679694521,0.166803713586985
"EastportME",3919.99625781457,4.73105132311197,-0.487873631332663,0.0771050040654566
"BostonMA",2278.3793731218,4.67978650126145,0.246552215450819,0.0569811467635108
"WoodsHoleMA",940.767640806396,6.26156906052133,-1.68642781581401,0.0603345907445982
"NantucketMA",1072.06221376906,4.71459816964741,0.192734419119676,0.0838859112137699
"NewLondonCT",1041.42709164159,5.48762140102301,-0.624764671533501,0.176745118431488
"NewYorkNY",1432.56780189389,5.30305255589303,-0.635626626925028,0.323763631575271
"CapeMayNJ",1501.07470998843,5.11684423210519,-0.454458171847135,-0.069666552497324
"LewesDE",1404.38357006173,3.97640839225174,0.937570396135879,0.297997983018391
"ChesapeakeBBT",1125.41881206706,4.04556103405439,1.03308752501101,0.127052733362634
"WilmingtonNC",1078.59957957098,6.17057960956791,-2.17889171133454,0.335897455950077
"FortPulaskiGA",1695.88339234049,3.44602697993292,1.24419126691574,0.242135199565169
"MayportFL",1191.70541355932,3.85781426943521,0.352590150762752,0.134421962072466
"VirginiaKeyFL",697.05649654596,6.16546767355104,-1.83751186205267,0.177045715915602
"NaplesFL",753.078420303502,3.30134063665552,1.5412721023932,0.342419388698236
"StPetersburgFL",787.30509722873,5.17663637424678,-0.413039439524944,0.16885488109402
"ApalachicolaFL",654.955592361291,3.97207142914017,0.669001130850536,1.04671429732672
"PanamaCityBeach",702.100893556736,4.86599218325337,0.256125877994033,0.764242413466879
"PensacolaFL",590.969602128749,4.69497148511175,0.0114160862406897,0.406365774732882
"DauphinIslandAL",596.852131069941,2.01189270453285,2.76581815564798,0.717516316246394
"GrandIsleLA",544.740147649378,1.55071888641665,3.45120266558587,0.59337963154757
"SabinePassNTX",669.938811440531,8.00350026769675,-3.42992823744924,0.347643531331825
"GalvestonPPier",874.553200167267,3.81710236491208,1.54485508733898,0.462561882992697
"RockportTX",443.616297525075,4.69031845542733,-0.375931757434837,0.360196632730432
"CorpusCristiTX",700.230495763652,3.63794916594199,1.40660170024572,0.266498661062378
"PortIsabelTX",538.339523376911,4.31730226688375,0.185788595510827,0.331446535555276
"ClearwaterBchFL",898.418010289257,5.82299915770385,-1.29027751606134,0.0872449361292286
"PortCanaveralFL",1143.38083697321,10.1781889009051,-6.2951667427364,0.578421284385565
"GalvestonPier21",673.68991809733,4.63663592292781,0.452770138644405,0.469026293541245
