"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00497566077918982,0.000796201934887588,90.8123135266627,0.0739118413277667,-0.000741481748007733
"KeyWestFL",0.00350386143458971,0.00230054868407389,40.8552032317271,-0.0296513586694539,0.380240250173304
"PortlandME",0.00329709287951555,0.00602081550623581,100.822980149097,0.0314239433838576,-0.0783102552086935
"NewportRI",0.00644701597016622,0.00135086166025469,111.256502058862,-0.295347701835065,0.469235972725199
"DuckPierNC",4.84611342476652e-08,0.0068828901504122,139.784129909637,-0.876190156182049,0.882677920154241
"CharlestonSC",0.00394676843326515,0.00388558091429347,67.7665340598357,0.149747811994286,0.136230070694155
"AtlanticCityNJ",0.00622714559115422,0.00153013724115123,112.436696561731,-0.0639487098776855,0.192736457995667
"MontaukNY",0.0110637930749227,-0.00453930780690514,162.267402595803,0.281093315942587,-0.359946245754014
"EastportME",0.00149675642316751,0.00781074556245755,94.1621643929794,0.0922282540390674,-0.128654310692154
"BostonMA",0.00537247490621226,0.00272061238332056,94.7372768254579,-0.0864050198516298,0.404240787512326
"WoodsHoleMA",0.0141379705529123,-0.00797596619975512,148.003217079789,0.185737451155547,-0.22587386563286
"NantucketMA",0.00423918257397643,0.00366775433488341,92.696528227406,-1.19275573321806,1.83344832973289
"NewLondonCT",0.00817747147185306,-0.000127356064122904,141.378793107148,0.418502668612127,-0.396479005546572
"NewYorkNY",0.00311192031281801,0.00674295279248823,127.446703228831,0.171695375966894,0.012637112204606
"CapeMayNJ",0.00645312933099856,0.000506487993892728,136.046765664925,0.32038278232042,-0.461418201039125
"LewesDE",0.00672563146144831,0.000528765494303145,138.438995882725,-0.105672741404874,0.222370988293182
"ChesapeakeBBT",4.24752002370911e-08,0.00764335230280807,174.082342118578,-1.1004934367406,1.1657764898752
"WilmingtonNC",4.43116412538915e-08,0.00753450178716606,67.9744715975265,0.196324336687974,0.0785866003735287
"FortPulaskiGA",0.00596292410954806,-0.000240568962971367,74.9307662566063,-0.0278966231243126,0.225289926467746
"MayportFL",0.00826596486917847,-0.00559880499581099,64.7752256697717,0.196372643676767,-0.315127740420114
"VirginiaKeyFL",0.0122964771690237,-0.0084972824269834,55.7770742503181,-1.73178442086605,2.25211299873471
"NaplesFL",0.00603651290039297,0.00166307419027687,83.0628743311266,-0.491105383538973,0.832612499862215
"StPetersburgFL",0.00272047813539992,0.00660089147525404,76.2365457914736,0.294776736311288,0.0862415167475179
"ApalachicolaFL",0.00275673836749631,0.00448232345574939,109.006060544412,-0.495062388099112,1.15722096419383
"PanamaCityBeach",5.56695955214615e-09,0.00715355363953517,122.995135704663,2.72357660767525,-2.36464203754472
"PensacolaFL",0.00464295555188182,0.00295818857922922,71.129198211056,0.358670090922524,0.176372773594343
"DauphinIslandAL",4.40471995112757e-08,0.00673138567513847,77.1369224275224,-1.17660218982306,1.96058255763446
"GrandIsleLA",0.000860966154325094,0.0052429605099457,94.8493383230588,-1.51050180839407,2.23900624059044
"SabinePassNTX",0.00317072545560129,0.00234203326951311,80.8577418571239,-0.123688773573547,0.567619756643921
"GalvestonPPier",0.00751675847879856,-0.00179477942172968,100.716016541788,0.273817235957519,0.202767562054376
"RockportTX",0.00120031573131803,0.00394957153494034,71.7259846634558,0.860146304343902,-0.673394913598067
"CorpusCristiTX",0.00662937453784767,-0.00193697738179175,125.451480416783,0.186066491494764,-0.0558563662783139
"PortIsabelTX",0.00580263877616696,-0.00190229007244254,75.9182839655732,0.00995765525521933,0.267281608025799
"ClearwaterBchFL",2.11135032404418e-07,0.00791291913363985,135.357101431976,0.764213689162925,-0.869483986816694
"PortCanaveralFL",3.43085501362464e-08,0.00562056355201257,51.0775819850771,0.610153267788011,-0.18577863358299
"GalvestonPier21",0.00468822541827835,0.00213958628376028,100.416112772148,0.483187697011286,-0.216841142710798
